,Distance,Duration,Ad1,Ad2
203,107 km,1 hour 5 mins,107+Elm+St+Salisbury+MA,640+Lincoln+Street+Worcester+MA
204,67.2 km,51 mins,107+Elm+St+Salisbury+MA,541+Massachusetts+Ave+Cambridge+MA
205,140 km,1 hour 23 mins,107+Elm+St+Salisbury+MA,640+Douglas+St+Uxbridge+MA
206,49.0 km,38 mins,107+Elm+St+Salisbury+MA,462+Highland+Ave+Salem+MA
207,74.7 km,49 mins,107+Elm+St+Salisbury+MA,38+Littleton+Rd+Ayer+MA
208,76.5 km,51 mins,107+Elm+St+Salisbury+MA,31+Central+Ave+Ayer+MA
209,29.2 km,30 mins,3+Dodge+Street+Salem+MA,68+Tenney+St+Georgetown+MA
210,101 km,1 hour 10 mins,3+Dodge+Street+Salem+MA,266+North+Main+Street+Millbury+MA
211,113 km,1 hour 15 mins,3+Dodge+Street+Salem+MA,65+Pullman+Street+Worcester+MA
212,108 km,1 hour 15 mins,3+Dodge+Street+Salem+MA,65+West+Boylston+Street+W+Boylston+MA
213,67.7 km,1 hour 2 mins,3+Dodge+Street+Salem+MA,416+Boston+Post+Road+Marlborough+MA
214,23.1 km,31 mins,3+Dodge+Street+Salem+MA,116+Newburyport+Turnpike+Rowley+MA
215,28.1 km,30 mins,3+Dodge+Street+Salem+MA,38+Great+Republic+Drive+Gloucester+MA
216,24.5 km,33 mins,3+Dodge+Street+Salem+MA,300+Newburyport+Turnpike+Rowley+MA
217,2.2 km,7 mins,3+Dodge+Street+Salem+MA,50+Grove+St+Salem+MA
218,44.4 km,39 mins,3+Dodge+Street+Salem+MA,49+Macy+St+Amesbury+MA
219,44.1 km,38 mins,3+Dodge+Street+Salem+MA,107+Elm+St+Salisbury+MA
220,1 m,1 min,3+Dodge+Street+Salem+MA,3+Dodge+Street+Salem+MA
221,103 km,1 hour 10 mins,3+Dodge+Street+Salem+MA,5+Forge+Parkway+Franklin+MA
222,106 km,1 hour 11 mins,3+Dodge+Street+Salem+MA,640+Lincoln+Street+Worcester+MA
223,39.0 km,42 mins,3+Dodge+Street+Salem+MA,541+Massachusetts+Ave+Cambridge+MA
224,119 km,1 hour 20 mins,3+Dodge+Street+Salem+MA,640+Douglas+St+Uxbridge+MA
225,5.0 km,11 mins,3+Dodge+Street+Salem+MA,462+Highland+Ave+Salem+MA
